SMILES,NAME,NODES,SOLUTION_TIME,NUM_ROUTES,FINAL_NUM_RXN_MODEL_CALLS,final_num_value_model_calls
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,constant-0,15653,inf,0,500,666
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,SAscore-linear-0.3,18129,inf,0,500,5938
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,SAscore-linear-1.0,18224,inf,0,500,6062
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,GNNEstimatorMAXScore-3.0,17230,inf,0,500,5540
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,GNNEstimatorMAXScore-10.0,17258,inf,0,500,5854
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,GNNEstimatorAVGScore-3.0,17235,inf,0,500,5527
CCCN(CCc1cccc(-c2ccccc2)c1)C(=O)C1OC(C(=O)O)=CC(N)C1NC(C)=O,GNNEstimatorAVGScore-10.0,17258,inf,0,500,5854
Oc1ccc(C2CC(c3ccccc3)=NN2C(=S)Nc2ccccc2)cc1,constant-0,354,20,0,20 (NOTE: this was less than the maximum budget),22
Oc1ccc(C2CC(c3ccccc3)=NN2C(=S)Nc2ccccc2)cc1,SAscore-linear-0.3,354,20,0,20 (NOTE: this was less than the maximum budget),116
Oc1ccc(C2CC(c3ccccc3)=NN2C(=S)Nc2ccccc2)cc1,SAscore-linear-1.0,185,7,0,7 (NOTE: this was less than the maximum budget),46
Oc1ccc(C2CC(c3ccccc3)=NN2C(=S)Nc2ccccc2)cc1,GNNEstimatorMAXScore-3.0,403,21,0,21 (NOTE: this was less than the maximum budget),141
